model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,e2e_x,e2e_y,inter_x,inter_y
gpt-oss 120B,1k-8k,64,False,0.31,False,0.385,False,0.436,mi325x,fp4,8,False,1146.857,False,526081.139,56.069,1146.857,131.083,1146.857
gpt-oss 120B,1k-8k,8,True,0.514,True,0.639,True,0.723,mi325x,fp4,2,True,691.206,True,317066.981,47.104,691.206,157.844,691.206
gpt-oss 120B,1k-8k,16,False,0.251,False,0.312,False,0.353,mi325x,fp4,1,False,1416.896,False,649952.36,92.818,1416.896,80.545,1416.896
gpt-oss 120B,1k-8k,64,True,0.109,True,0.135,True,0.153,mi325x,fp4,1,True,3275.056,True,1502319.291,158.723,3275.056,46.252,3275.056
gpt-oss 120B,1k-8k,4,False,0.567,False,0.705,False,0.798,mi325x,fp4,1,False,626.864,False,287552.264,50.982,626.864,141.087,626.864
gpt-oss 120B,1k-8k,64,True,0.215,True,0.267,True,0.302,mi325x,fp4,4,True,1653.07,True,758288.941,78.12,1653.07,94.577,1653.07
gpt-oss 120B,1k-8k,64,True,0.142,True,0.177,True,0.2,mi325x,fp4,2,True,2498.501,True,1146101.594,103.711,2498.501,70.627,2498.501
gpt-oss 120B,1k-8k,32,True,0.302,True,0.375,True,0.424,mi325x,fp4,4,True,1178.815,True,540740.649,55.251,1178.815,136.307,1178.815
gpt-oss 120B,1k-8k,32,False,0.221,False,0.274,False,0.31,mi325x,fp4,2,False,1610.807,False,738902.142,81.084,1610.807,91.643,1610.807
gpt-oss 120B,1k-8k,4,True,1.489,True,1.85,True,2.095,mi325x,fp4,4,True,238.713,True,109501.27,33.346,238.713,216.721,238.713
gpt-oss 120B,1k-8k,8,True,0.812,True,1.009,True,1.142,mi325x,fp4,4,True,437.759,True,200806.666,37,437.759,201.046,437.759
gpt-oss 120B,1k-8k,16,False,0.865,False,1.074,False,1.216,mi325x,fp4,8,False,411.157,False,188604.324,39.187,411.157,188.709,411.157
gpt-oss 120B,1k-8k,16,False,0.615,False,0.765,False,0.865,mi325x,fp4,4,False,577.708,False,265003.732,55.89,577.708,131.883,577.708
gpt-oss 120B,1k-8k,8,False,1.549,False,1.924,False,2.178,mi325x,fp4,8,False,229.609,False,105325.263,35.177,229.609,211.017,229.609
gpt-oss 120B,1k-8k,4,True,2.86,True,3.552,True,4.021,mi325x,fp4,8,True,124.341,True,57037.383,31.949,124.341,224.717,124.341
gpt-oss 120B,1k-8k,8,False,0.361,False,0.448,False,0.508,mi325x,fp4,1,False,985.054,False,451859.835,65.156,985.054,113.018,985.054
gpt-oss 120B,1k-8k,16,False,0.344,False,0.427,False,0.484,mi325x,fp4,2,False,1033.896,False,474264.011,62.783,1033.896,117.693,1033.896
