model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-1k,16,True,0.317,True,0.397,True,0.439,mi300x,fp4,4,True,980.389,True,547703.416,131.061,980.389
gpt-oss 120B,1k-1k,64,False,0.23,False,0.288,False,0.319,mi300x,fp4,8,False,1350.914,False,754700.705,90.982,1350.914
gpt-oss 120B,1k-1k,64,True,0.134,True,0.167,True,0.185,mi300x,fp4,4,True,2324.514,True,1298610.981,76.814,2324.514
gpt-oss 120B,1k-1k,4,True,1.659,True,2.073,True,2.296,mi300x,fp4,8,True,187.554,True,104778.755,200.187,187.554
gpt-oss 120B,1k-1k,16,False,0.216,False,0.271,False,0.3,mi300x,fp4,2,False,1437.277,False,802948.291,94.228,1437.277
gpt-oss 120B,1k-1k,8,True,0.51,True,0.638,True,0.706,mi300x,fp4,4,True,609.976,True,340768.539,166.125,609.976
gpt-oss 120B,1k-1k,32,True,0.203,True,0.254,True,0.282,mi300x,fp4,4,True,1528.981,True,854179.414,101.478,1528.981
gpt-oss 120B,1k-1k,4,False,0.364,False,0.456,False,0.504,mi300x,fp4,1,False,853.672,False,476911.715,110.16,853.672
gpt-oss 120B,1k-1k,32,False,0.336,False,0.42,False,0.465,mi300x,fp4,8,False,925.91,False,517268.112,126.66,925.91
gpt-oss 120B,1k-1k,32,False,0.146,False,0.183,False,0.202,mi300x,fp4,2,False,2130.497,False,1190221.554,70.323,2130.497
gpt-oss 120B,1k-1k,16,False,0.547,False,0.683,False,0.756,mi300x,fp4,8,False,569.228,False,318004.579,156.601,569.228
gpt-oss 120B,1k-1k,64,True,0.073,True,0.091,True,0.101,mi300x,fp4,1,True,4270.269,True,2385625.094,34.272,4270.269
gpt-oss 120B,1k-1k,8,False,0.332,False,0.415,False,0.459,mi300x,fp4,2,False,937.85,False,523938.742,123.676,937.85
gpt-oss 120B,1k-1k,64,True,0.096,True,0.12,True,0.133,mi300x,fp4,2,True,3236.582,True,1808146.227,52.6,3236.582
gpt-oss 120B,1k-1k,8,False,0.919,False,1.149,False,1.272,mi300x,fp4,8,False,338.586,False,189154.015,183.941,338.586
gpt-oss 120B,1k-1k,32,False,0.113,False,0.141,False,0.156,mi300x,fp4,1,False,2762.236,False,1543148.628,44.383,2762.236
