model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,e2e_x,e2e_y,inter_x,inter_y
gpt-oss 120B,1k-1k,16,True,0.319,True,0.398,True,0.441,mi300x,fp4,4,True,976.647,True,545612.857,7.194,976.647,131.41,976.647
gpt-oss 120B,1k-1k,64,True,0.135,True,0.169,True,0.187,mi300x,fp4,4,True,2303.805,True,1287041.927,12.171,2303.805,76.803,2303.805
gpt-oss 120B,1k-1k,4,True,1.622,True,2.027,True,2.244,mi300x,fp4,8,True,191.831,True,107168.048,4.553,191.831,206.771,191.831
gpt-oss 120B,1k-1k,16,False,0.163,False,0.204,False,0.226,mi300x,fp4,1,False,1902.822,False,1063029.166,15.289,1902.822,61.317,1902.822
gpt-oss 120B,1k-1k,64,True,0.092,True,0.115,True,0.127,mi300x,fp4,2,True,3379.213,True,1887828.269,16.968,3379.213,54.725,3379.213
gpt-oss 120B,1k-1k,8,True,0.512,True,0.64,True,0.709,mi300x,fp4,4,True,607.652,True,339470.442,5.776,607.652,164.993,607.652
gpt-oss 120B,1k-1k,8,False,0.337,False,0.421,False,0.466,mi300x,fp4,2,False,924.212,False,516319.61,7.881,924.212,121.456,924.212
gpt-oss 120B,1k-1k,32,False,0.346,False,0.432,False,0.478,mi300x,fp4,8,False,900.274,False,502946.438,7.662,900.274,122.841,900.274
gpt-oss 120B,1k-1k,4,False,0.341,False,0.427,False,0.472,mi300x,fp4,1,False,911.352,False,509135.298,7.662,911.352,119.783,911.352
gpt-oss 120B,1k-1k,4,False,0.55,False,0.688,False,0.761,mi300x,fp4,2,False,565.574,False,315962.937,6.239,565.574,151.972,565.574
gpt-oss 120B,1k-1k,4,True,0.87,True,1.087,True,1.203,mi300x,fp4,4,True,357.773,True,199873.314,4.937,357.773,191.543,357.773
gpt-oss 120B,1k-1k,32,True,0.208,True,0.26,True,0.288,mi300x,fp4,4,True,1496.143,True,835834.103,9.314,1496.143,100.014,1496.143
gpt-oss 120B,1k-1k,32,False,0.144,False,0.18,False,0.199,mi300x,fp4,2,False,2162.379,False,1208032.897,13.218,2162.379,70.41,2162.379
gpt-oss 120B,1k-1k,8,False,0.901,False,1.126,False,1.247,mi300x,fp4,8,False,345.277,False,192892.228,5.245,345.277,185.976,345.277
gpt-oss 120B,1k-1k,32,False,0.106,False,0.133,False,0.147,mi300x,fp4,1,False,2927.697,False,1635584.933,19.659,2927.697,47.214,2927.697
gpt-oss 120B,1k-1k,16,False,0.56,False,0.7,False,0.775,mi300x,fp4,8,False,555.365,False,310259.513,6.268,555.365,149.409,555.365
gpt-oss 120B,1k-1k,64,False,0.234,False,0.293,False,0.324,mi300x,fp4,8,False,1327.024,False,741353.915,10.627,1327.024,88.25,1327.024
gpt-oss 120B,1k-1k,64,True,0.074,True,0.092,True,0.102,mi300x,fp4,1,True,4232.154,True,2364332.024,27.179,4232.154,34.222,4232.154
gpt-oss 120B,1k-1k,8,False,0.24,False,0.3,False,0.332,mi300x,fp4,1,False,1295.941,False,723989.22,11.301,1295.941,84.212,1295.941
gpt-oss 120B,1k-1k,16,False,0.214,False,0.267,False,0.296,mi300x,fp4,2,False,1455.66,False,813217.633,9.68,1455.66,95.983,1455.66
gpt-oss 120B,1k-1k,4,True,1.526,True,1.959,True,2.165,mi355x,fp4,8,True,269.425,True,101669.972,3.322,269.425,283.487,269.425
gpt-oss 120B,1k-1k,64,False,0.16,False,0.205,False,0.227,mi355x,fp4,8,False,2573.197,False,971017.793,5.499,2573.197,169.532,2573.197
gpt-oss 120B,1k-1k,16,False,0.255,False,0.327,False,0.362,mi355x,fp4,4,False,1612.921,False,608649.266,4.444,1612.921,211.55,1612.921
gpt-oss 120B,1k-1k,64,True,0.039,True,0.05,True,0.056,mi355x,fp4,1,True,10451.9,True,3944113.068,11.081,10451.9,83.858,10451.9
gpt-oss 120B,1k-1k,16,True,0.451,True,0.579,True,0.64,mi355x,fp4,8,True,910.796,True,343696.507,3.88,910.796,242.237,910.796
gpt-oss 120B,1k-1k,4,False,0.827,False,1.062,False,1.174,mi355x,fp4,4,False,496.886,False,187504.197,3.602,496.886,261.516,496.886
gpt-oss 120B,1k-1k,8,True,0.807,True,1.036,True,1.145,mi355x,fp4,8,True,509.34,True,192203.655,3.548,509.34,267.639,509.34
gpt-oss 120B,1k-1k,32,False,0.267,False,0.343,False,0.38,mi355x,fp4,8,False,1536.948,False,579980.223,4.601,1536.948,203.055,1536.948
gpt-oss 120B,1k-1k,64,False,0.102,False,0.131,False,0.144,mi355x,fp4,4,False,4037.43,False,1523558.568,7.078,4037.43,131.734,4037.43
gpt-oss 120B,1k-1k,32,True,0.061,True,0.078,True,0.086,mi355x,fp4,1,True,6780.816,True,2558798.57,8.54,6780.816,108.788,6780.816
gpt-oss 120B,1k-1k,16,True,0.09,True,0.116,True,0.128,mi355x,fp4,1,True,4561.28,True,1721237.77,6.36,4561.28,146.264,4561.28
gpt-oss 120B,1k-1k,8,True,0.445,True,0.571,True,0.631,mi355x,fp4,4,True,924.687,True,348938.504,3.918,924.687,242.604,924.687
gpt-oss 120B,1k-1k,32,False,0.159,False,0.204,False,0.226,mi355x,fp4,4,False,2586.171,False,975913.557,5.494,2586.171,169.936,2586.171
gpt-oss 120B,1k-1k,4,True,0.225,True,0.289,True,0.32,mi355x,fp4,1,True,1823.437,True,688089.305,3.95,1823.437,238.004,1823.437
gpt-oss 120B,1k-1k,8,True,0.143,True,0.184,True,0.203,mi355x,fp4,1,True,2872.235,True,1083862.382,5.092,2872.235,186.405,2872.235
gpt-oss 120B,1k-1k,64,True,0.096,True,0.118,True,0.109,h200,fp4,2,True,4089.757,True,2364021.455,14.218,4089.757,65.156,4089.757
gpt-oss 120B,1k-1k,8,False,0.231,False,0.285,False,0.262,h200,fp4,1,False,1693.871,False,979115.939,8.619,1693.871,109.465,1693.871
gpt-oss 120B,1k-1k,16,False,0.156,False,0.193,False,0.178,h200,fp4,1,False,2503.859,False,1447317.493,11.561,2503.859,79.096,2503.859
gpt-oss 120B,1k-1k,64,False,0.196,False,0.242,False,0.222,h200,fp4,8,False,1999.268,False,1155646.353,7.213,1999.268,128.523,1999.268
gpt-oss 120B,1k-1k,4,True,0.887,True,1.095,True,1.007,h200,fp4,4,True,441.405,True,255147.242,4.059,441.405,229.156,441.405
gpt-oss 120B,1k-1k,4,False,0.534,False,0.659,False,0.606,h200,fp4,2,False,732.953,False,423672.004,4.874,732.953,188.962,732.953
gpt-oss 120B,1k-1k,32,True,0.194,True,0.239,True,0.22,h200,fp4,4,True,2022.978,True,1169351.383,7.111,2022.978,130.225,2022.978
gpt-oss 120B,1k-1k,64,True,0.078,True,0.096,True,0.088,h200,fp4,1,True,5038.92,True,2912670.611,23.095,5038.92,40.094,5038.92
gpt-oss 120B,1k-1k,32,False,0.307,False,0.379,False,0.349,h200,fp4,8,False,1274.265,False,736569.201,5.638,1274.265,164.212,1274.265
gpt-oss 120B,1k-1k,16,False,0.213,False,0.262,False,0.241,h200,fp4,2,False,1842.392,False,1064966.41,7.839,1842.392,116.41,1842.392
gpt-oss 120B,1k-1k,32,False,0.143,False,0.176,False,0.162,h200,fp4,2,False,2741.686,False,1584789.554,10.508,2741.686,87.82,2741.686
gpt-oss 120B,1k-1k,16,True,0.506,True,0.624,True,0.574,h200,fp4,8,True,774.171,True,447497.697,4.612,774.171,199.166,774.171
gpt-oss 120B,1k-1k,4,True,1.568,True,1.935,True,1.779,h200,fp4,8,True,249.781,True,144381.852,3.619,249.781,258.21,249.781
gpt-oss 120B,1k-1k,4,False,0.342,False,0.423,False,0.389,h200,fp4,1,False,1143.975,False,661257.003,6.316,1143.975,146.686,1143.975
gpt-oss 120B,1k-1k,32,False,0.111,False,0.137,False,0.126,h200,fp4,1,False,3521.912,False,2035787.275,16.563,3521.912,56.149,3521.912
gpt-oss 120B,1k-1k,64,True,0.128,True,0.157,True,0.145,h200,fp4,4,True,3071.127,True,1775218.125,9.41,3071.127,98.373,3071.127
gpt-oss 120B,1k-1k,8,False,0.953,False,1.176,False,1.082,h200,fp4,8,False,410.865,False,237493.995,4.437,410.865,214.263,410.865
gpt-oss 120B,1k-1k,16,True,0.305,True,0.376,True,0.346,h200,fp4,4,True,1286.027,True,743367.928,5.58,1286.027,164.223,1286.027
gpt-oss 120B,1k-1k,8,True,0.501,True,0.618,True,0.568,h200,fp4,4,True,782.327,True,452211.988,4.693,782.327,202.112,782.327
gpt-oss 120B,1k-1k,8,False,0.33,False,0.407,False,0.375,h200,fp4,2,False,1186.106,False,685610.225,6.146,1186.106,152.954,1186.106
gpt-oss 120B,1k-1k,8,False,1.157,False,1.428,False,1.313,h200_trt,fp4,8,False,338.412,False,195613.881,5.435,338.412,176.144,338.412
gpt-oss 120B,1k-1k,64,False,0.144,False,0.177,False,0.163,h200_trt,fp4,4,False,2727.529,False,1576606.283,10.631,2727.529,87.336,2727.529
gpt-oss 120B,1k-1k,8,True,0.214,True,0.264,True,0.243,h200_trt,fp4,1,True,1831.237,True,1058518.73,8.022,1831.237,117.76,1831.237
gpt-oss 120B,1k-1k,4,True,1.017,True,1.255,True,1.154,h200_trt,fp4,4,True,385.188,True,222652.053,4.694,385.188,200.19,385.188
gpt-oss 120B,1k-1k,32,False,0.097,False,0.119,False,0.11,h200_trt,fp4,1,False,4048.57,False,2340213.761,14.32,4048.57,65.02,4048.57
gpt-oss 120B,1k-1k,16,False,0.365,False,0.451,False,0.414,h200_trt,fp4,4,False,1072.715,False,620066.261,6.718,1072.715,136.619,1072.715
gpt-oss 120B,1k-1k,32,True,0.142,True,0.175,True,0.161,h200_trt,fp4,2,True,2763.886,True,1597621.738,10.414,2763.886,88.82,2763.886
gpt-oss 120B,1k-1k,8,False,0.616,False,0.76,False,0.699,h200_trt,fp4,4,False,635.696,False,367454.227,5.769,635.696,165.163,635.696
gpt-oss 120B,1k-1k,4,True,0.352,True,0.434,True,0.399,h200_trt,fp4,1,True,1113.816,True,643824.504,6.44,1113.816,143.441,1113.816
gpt-oss 120B,1k-1k,4,True,0.601,True,0.741,True,0.682,h200_trt,fp4,2,True,652.005,True,376881.38,5.521,652.005,170.064,652.005
gpt-oss 120B,1k-1k,16,False,0.711,False,0.877,False,0.806,h200_trt,fp4,8,False,551.091,False,318549.719,6.593,551.091,141.237,551.091
gpt-oss 120B,1k-1k,16,False,0.224,False,0.277,False,0.255,h200_trt,fp4,2,False,1745.363,False,1008880.366,8.268,1745.363,110.619,1745.363
gpt-oss 120B,1k-1k,64,True,0.09,True,0.111,True,0.102,h200_trt,fp4,2,True,4370.911,True,2526538.198,13.276,4370.911,69.961,4370.911
gpt-oss 120B,1k-1k,8,True,0.346,True,0.428,True,0.393,h200_trt,fp4,2,True,1130.446,True,653436.979,6.452,1130.446,145.775,1130.446
gpt-oss 120B,1k-1k,64,False,0.286,False,0.353,False,0.325,h200_trt,fp4,8,False,1367.299,False,790346.113,10.701,1367.299,87.381,1367.299
gpt-oss 120B,1k-1k,4,True,1.804,True,2.227,True,2.047,h200_trt,fp4,8,True,217.073,True,125475.539,4.161,217.073,228.268,217.073
gpt-oss 120B,1k-1k,32,False,0.248,False,0.306,False,0.281,h200_trt,fp4,4,False,1581.58,False,914208.154,8.737,1581.58,107.19,1581.58
gpt-oss 120B,1k-1k,32,False,0.436,False,0.538,False,0.494,h200_trt,fp4,8,False,898.928,False,519611.662,8.089,898.928,115.28,898.928
gpt-oss 120B,1k-1k,64,True,0.065,True,0.08,True,0.073,h200_trt,fp4,1,True,6047.125,True,3495447.937,19.187,6047.125,48.447,6047.125
gpt-oss 120B,1k-1k,16,False,0.143,False,0.177,False,0.163,h200_trt,fp4,1,False,2733.341,False,1579965.923,10.556,2733.341,85.982,2733.341
gpt-oss 120B,1k-1k,32,False,0.076,False,0.091,False,0.113,b200,fp4,1,False,7158.828,False,3298999.217,8.043,7158.828,114.835,7158.828
gpt-oss 120B,1k-1k,16,True,0.282,True,0.338,True,0.419,b200,fp4,4,True,1922.391,True,885894.573,3.739,1922.391,246.048,1922.391
gpt-oss 120B,1k-1k,32,False,0.309,False,0.371,False,0.46,b200,fp4,8,False,1751.147,False,806979.981,4.085,1751.147,226.932,1751.147
gpt-oss 120B,1k-1k,8,False,0.286,False,0.344,False,0.426,b200,fp4,2,False,1891.3,False,871567.033,3.835,1891.3,243.614,1891.3
gpt-oss 120B,1k-1k,16,False,0.577,False,0.693,False,0.859,b200,fp4,8,False,938.236,False,432366.961,3.833,938.236,239.889,938.236
gpt-oss 120B,1k-1k,16,False,0.112,False,0.134,False,0.166,b200,fp4,1,False,4843.542,False,2232047.034,5.957,4843.542,153.005,4843.542
gpt-oss 120B,1k-1k,8,False,0.923,False,1.108,False,1.373,b200,fp4,8,False,586.835,False,270430.946,3.103,586.835,302.401,586.835
gpt-oss 120B,1k-1k,8,False,0.173,False,0.208,False,0.257,b200,fp4,1,False,3130.799,False,1442764.396,4.663,3130.799,202.534,3130.799
gpt-oss 120B,1k-1k,32,True,0.165,True,0.198,True,0.245,b200,fp4,4,True,3282.649,True,1512741.291,4.359,3282.649,212.407,3282.649
gpt-oss 120B,1k-1k,8,True,0.489,True,0.586,True,0.727,b200,fp4,4,True,1108.511,True,510834.377,3.287,1108.511,286.645,1108.511
gpt-oss 120B,1k-1k,4,True,0.895,True,1.074,True,1.331,b200,fp4,4,True,605.278,True,278929.869,2.954,605.278,313.348,605.278
gpt-oss 120B,1k-1k,16,False,0.172,False,0.206,False,0.255,b200,fp4,2,False,3156.604,False,1454656.393,4.547,3156.604,201.604,3156.604
gpt-oss 120B,1k-1k,4,False,1.784,False,2.141,False,2.653,b200,fp4,8,False,303.647,False,139929.456,2.962,303.647,315.574,303.647
gpt-oss 120B,1k-1k,4,False,0.286,False,0.343,False,0.425,b200,fp4,1,False,1896.706,False,874057.879,3.784,1896.706,243.39,1896.706
gpt-oss 120B,1k-1k,32,False,0.104,False,0.125,False,0.155,b200,fp4,2,False,5206.068,False,2399109.793,5.503,5206.068,168.259,5206.068
gpt-oss 120B,1k-1k,64,True,0.066,True,0.079,True,0.098,b200,fp4,2,True,8186.453,True,3772559.153,7.009,8186.453,132.272,8186.453
gpt-oss 120B,1k-1k,4,False,0.529,False,0.635,False,0.787,b200,fp4,2,False,1023.518,False,471667.506,3.523,1023.518,265.204,1023.518
gpt-oss 120B,1k-1k,64,True,0.048,True,0.058,True,0.071,b200,fp4,1,True,11288.283,True,5201973.588,10.267,11288.283,90.479,11288.283
gpt-oss 120B,1k-1k,64,False,0.204,False,0.245,False,0.303,b200,fp4,8,False,2657.765,False,1224776.557,5.392,2657.765,171.66,2657.765
gpt-oss 120B,1k-1k,64,True,0.1,True,0.12,True,0.149,b200,fp4,4,True,5415.427,True,2495588.541,5.29,5415.427,174.822,5415.427
gpt-oss 120B,1k-1k,4,True,1.719,True,2.135,True,2.417,mi325x,fp4,8,True,206.857,True,94888.417,4.208,206.857,223.758,206.857
gpt-oss 120B,1k-1k,32,False,0.233,False,0.289,False,0.327,mi325x,fp4,4,False,1528.991,False,701371.99,9.181,1528.991,101.303,1528.991
gpt-oss 120B,1k-1k,32,False,0.132,False,0.164,False,0.186,mi325x,fp4,2,False,2695.295,False,1236373.818,10.644,2695.295,88.415,2695.295
gpt-oss 120B,1k-1k,4,False,0.338,False,0.419,False,0.475,mi325x,fp4,1,False,1053.309,False,483169.314,6.632,1053.309,137.058,1053.309
gpt-oss 120B,1k-1k,64,True,0.124,True,0.154,True,0.175,mi325x,fp4,4,True,2864.135,True,1313823.177,9.86,2864.135,94.821,2864.135
gpt-oss 120B,1k-1k,16,True,0.201,True,0.249,True,0.282,mi325x,fp4,2,True,1770.985,True,812378.603,8.1,1770.985,115.321,1770.985
gpt-oss 120B,1k-1k,8,False,0.216,False,0.268,False,0.304,mi325x,fp4,1,False,1645.231,False,754693.006,8.772,1645.231,107.779,1645.231
gpt-oss 120B,1k-1k,32,False,0.098,False,0.121,False,0.137,mi325x,fp4,1,False,3639.551,False,1669518.665,15.896,3639.551,58.507,3639.551
gpt-oss 120B,1k-1k,16,False,0.14,False,0.173,False,0.196,mi325x,fp4,1,False,2547.051,False,1168371.939,11.475,2547.051,82.149,2547.051
gpt-oss 120B,1k-1k,64,False,0.209,False,0.259,False,0.293,mi325x,fp4,8,False,1703.845,False,781580.392,8.204,1703.845,113.851,1703.845
gpt-oss 120B,1k-1k,8,False,0.589,False,0.731,False,0.828,mi325x,fp4,4,False,603.848,False,276994.461,5.821,603.848,162.286,603.848
gpt-oss 120B,1k-1k,8,False,0.308,False,0.382,False,0.433,mi325x,fp4,2,False,1155.207,False,529911.611,6.268,1155.207,152.642,1155.207
gpt-oss 120B,1k-1k,64,True,0.088,True,0.11,True,0.124,mi325x,fp4,2,True,4028.708,True,1848031.129,14.223,4028.708,65.608,4028.708
gpt-oss 120B,1k-1k,4,True,0.532,True,0.661,True,0.748,mi325x,fp4,2,True,668.448,True,306627.549,5.357,668.448,177.021,668.448
gpt-oss 120B,1k-1k,64,True,0.068,True,0.084,True,0.095,mi325x,fp4,1,True,5266.58,True,2415862.41,21.877,5266.58,42.469,5266.58
gpt-oss 120B,1k-1k,16,False,0.542,False,0.673,False,0.762,mi325x,fp4,8,False,656.023,False,300927.93,5.373,656.023,176.295,656.023
gpt-oss 120B,1k-1k,8,False,0.937,False,1.163,False,1.317,mi325x,fp4,8,False,379.662,False,174156.659,4.624,379.662,206.784,379.662
gpt-oss 120B,1k-1k,4,True,0.877,True,1.09,True,1.234,mi325x,fp4,4,True,405.2,True,185871.394,4.392,405.2,214.317,405.2
gpt-oss 120B,1k-1k,16,True,0.3,True,0.373,True,0.423,mi325x,fp4,4,True,1183.388,True,542838.314,5.99,1183.388,158.169,1183.388
gpt-oss 120B,1k-1k,32,False,0.332,False,0.412,False,0.467,mi325x,fp4,8,False,1071.451,False,491491.187,6.469,1071.451,145.613,1071.451
gpt-oss 120B,1k-1k,4,False,0.583,False,0.758,False,0.583,h100,fp4,2,False,619.314,False,357985.012,5.844,619.314,159.27,619.314
gpt-oss 120B,1k-1k,8,False,0.353,False,0.458,False,0.353,h100,fp4,2,False,1024.374,False,592123.529,7.143,1024.374,131.986,1024.374
gpt-oss 120B,1k-1k,16,True,0.331,True,0.43,True,0.331,h100,fp4,4,True,1092,True,631213.759,6.622,1092,139.261,1092
gpt-oss 120B,1k-1k,4,True,0.956,True,1.242,True,0.956,h100,fp4,4,True,377.905,True,218442.115,4.763,377.905,194.239,377.905
gpt-oss 120B,1k-1k,16,True,0.556,True,0.723,True,0.556,h100,fp4,8,True,649.268,True,375299.402,5.531,649.268,165.502,649.268
gpt-oss 120B,1k-1k,32,True,0.21,True,0.273,True,0.21,h100,fp4,4,True,1722.25,True,995520.322,8.337,1722.25,111.135,1722.25
gpt-oss 120B,1k-1k,64,True,0.1,True,0.13,True,0.1,h100,fp4,2,True,3617.772,True,2091197.603,16.024,3617.772,57.746,3617.772
