model_name,sequence_length,conc,tp,precision,hwKey_v1,hwKey_v2,e2e_x_v1,e2e_x_v2,e2e_x_abs_diff,e2e_x_pct_diff,e2e_y_v1,e2e_y_v2,e2e_y_abs_diff,e2e_y_pct_diff,inter_x_v1,inter_x_v2,inter_x_abs_diff,inter_x_pct_diff,inter_y_v1,inter_y_v2,inter_y_abs_diff,inter_y_pct_diff
Llama 3.3 70B Instruct,8k-1k,64,2,fp8,b200_trt,h100,35.272,108.756,73.48400000000001,208.3352234066682,7504.023,2377.356,5126.6669999999995,68.31891373467272,26.705,18.807,7.898,29.57498595768583,7504.023,2377.356,5126.6669999999995,68.31891373467272
Llama 3.3 70B Instruct,8k-1k,64,2,fp8,b200,mi300x,40.035,90.148,50.113,125.17297364805795,6560.427,2946.749,3613.678,55.08296944695825,23.492,10.426,13.066,55.61893410522731,6560.427,2946.749,3613.678,55.08296944695825
Llama 3.3 70B Instruct,8k-1k,16,2,fp8,b200_trt,mi325x,14.657,32.905,18.248,124.50023879375043,4371.523,1955.701,2415.822,55.26270821404806,64.34,28.99,35.35000000000001,54.94249300590614,4371.523,1955.701,2415.822,55.26270821404806
Llama 3.3 70B Instruct,8k-1k,8,4,fp8,b200_trt,mi325x,8.293,18.59,10.297,124.16495839864947,1960.768,868.206,1092.562,55.72112559976499,115.894,51.805,64.089,55.29967038845841,1960.768,868.206,1092.562,55.72112559976499
DeepSeek R1 0528,1k-8k,4,8,fp8,b200,mi300x,76.741,169.877,93.13600000000001,121.364068750733,53.361,23.416,29.944999999999997,56.1177639099717,96.352,42.249,54.103,56.15140318830954,53.361,23.416,29.944999999999997,56.1177639099717
Llama 3.3 70B Instruct,1k-8k,16,2,fp8,b200_trt,h100,76.689,165.599,88.91,115.93579261693334,843.136,393.444,449.69199999999995,53.335642173979046,96.592,44.773,51.818999999999996,53.64729998343548,843.136,393.444,449.69199999999995,53.335642173979046
Llama 3.3 70B Instruct,1k-1k,32,4,fp8,b200_trt,mi325x,7.558,15.372,7.814,103.38713945488225,1887.181,931.641,955.5400000000001,50.63319310654357,125.108,60.615,64.493,51.54986092016497,1887.181,931.641,955.5400000000001,50.63319310654357
gpt-oss 120B,1k-1k,16,4,fp4,b200,mi325x,3.739,7.381,3.6420000000000003,97.40572345546938,1922.391,960.864,961.527,50.01724415064365,246.048,127.186,118.862,48.30846013785928,1922.391,960.864,961.527,50.01724415064365
Llama 3.3 70B Instruct,1k-8k,64,2,fp8,b200,mi300x,115.742,226.582,110.83999999999999,95.76471807986728,2216.275,1140.078,1076.1970000000001,48.55882054347949,63.292,32.495,30.797000000000004,48.6585982430639,2216.275,1140.078,1076.1970000000001,48.55882054347949
Llama 3.3 70B Instruct,8k-1k,64,4,fp8,b200,mi300x,27.994,51.643,23.649,84.47881688933343,4694.083,2571.123,2122.9599999999996,45.22629872543796,34.133,18.169,15.964000000000002,46.769987988163955,4694.083,2571.123,2122.9599999999996,45.22629872543796
DeepSeek R1 0528,1k-1k,4,4,fp4,b200_trt,mi355x,7.822,14.429,6.607,84.46688826387113,230.431,126.687,103.74400000000001,45.021720167859364,119.885,64.774,55.111000000000004,45.96988780915044,230.431,126.687,103.74400000000001,45.021720167859364
Llama 3.3 70B Instruct,1k-8k,32,1,fp8,b200,h200,152.781,281.637,128.856,84.34033027667051,1708.273,928.253,780.0199999999999,45.6613199412506,48.563,26.335,22.228,45.77147210839529,1708.273,928.253,780.0199999999999,45.6613199412506
Llama 3.3 70B Instruct,1k-1k,32,1,fp8,b200_trt,h200,17.004,31.035,14.030999999999999,82.51587861679603,3357.348,1853.541,1503.807,44.7915140164201,55.592,29.941,25.651,46.14153115556196,3357.348,1853.541,1503.807,44.7915140164201
gpt-oss 120B,1k-1k,32,8,fp4,b200,mi300x,4.085,7.455,3.37,82.4969400244798,1751.147,925.91,825.237,47.12551259260359,226.932,126.66,100.27199999999999,44.185923536566015,1751.147,925.91,825.237,47.12551259260359
gpt-oss 120B,1k-1k,32,1,fp4,b200,h200_trt,8.043,14.183,6.140000000000001,76.33967425090142,7158.828,4087.751,3071.077,42.89915891260413,114.835,65.379,49.45599999999999,43.06700918709452,7158.828,4087.751,3071.077,42.89915891260413
DeepSeek R1 0528,1k-1k,16,4,fp4,b200,mi355x,13.693,23.894,10.200999999999999,74.49791864456292,536.728,307.073,229.65499999999997,42.78796708947549,69.286,38.935,30.351,43.80538636954074,536.728,307.073,229.65499999999997,42.78796708947549
DeepSeek R1 0528,1k-1k,4,8,fp4,b200_trt,mi355x,6.962,12.105,5.143000000000001,73.87245044527437,129.563,75.395,54.16799999999999,41.808232288539166,134.821,77.302,57.51899999999999,42.663234955978666,129.563,75.395,54.16799999999999,41.808232288539166
DeepSeek R1 0528,8k-1k,16,8,fp8,b200,mi300x,20.344,34.863,14.518999999999998,71.3674793550924,760.945,460.944,300.00100000000003,39.424794170406535,47.01,26.848,20.162,42.88874707509041,760.945,460.944,300.00100000000003,39.424794170406535
Llama 3.3 70B Instruct,1k-1k,4,4,fp8,b200_trt,h100,6.292,10.769,4.477,71.15384615384616,285.806,166.933,118.87299999999999,41.592198904151765,151.177,86.352,64.82499999999999,42.88020003042791,285.806,166.933,118.87299999999999,41.592198904151765
